"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 18:32:13 GMT 2023","Wed May 03 18:32:13 GMT 2023","364","tests.search_my_folder","test_search_folder","","","","test_search_folder",""
"passed","Wed May 03 18:32:09 GMT 2023","Wed May 03 18:32:10 GMT 2023","1195","tests.delete_file","test_delete_func","","","","test_delete_file",""
"passed","Wed May 03 18:32:06 GMT 2023","Wed May 03 18:32:07 GMT 2023","1220","tests.add_new_folder","test_add_folder","","","","test_add_folder",""
"passed","Wed May 03 18:32:10 GMT 2023","Wed May 03 18:32:10 GMT 2023","145","tests.delete_file","test_delete_func","","","","test_delete_unknown_file",""
"passed","Wed May 03 18:32:11 GMT 2023","Wed May 03 18:32:11 GMT 2023","376","tests.download_file","test_download_file","","","","test_download_file",""
"passed","Wed May 03 18:32:11 GMT 2023","Wed May 03 18:32:11 GMT 2023","211","tests.download_file","test_download_file","","","","test_download_unknown_file",""
"passed","Wed May 03 18:32:13 GMT 2023","Wed May 03 18:32:13 GMT 2023","145","tests.search_file","test_search_file","","","","test_search_unknown_file",""
"passed","Wed May 03 18:32:15 GMT 2023","Wed May 03 18:32:15 GMT 2023","185","tests.upload_file","test_upload_func","","","","test_upload_file",""
"passed","Wed May 03 18:32:16 GMT 2023","Wed May 03 18:32:16 GMT 2023","79","tests.upload_file","test_upload_func","","","","test_unknown_link",""
"passed","Wed May 03 18:32:11 GMT 2023","Wed May 03 18:32:12 GMT 2023","588","tests.rename_new_file","test_rename_file","","","","test_add_label",""
"passed","Wed May 03 18:32:12 GMT 2023","Wed May 03 18:32:13 GMT 2023","487","tests.search_file","test_search_file","","","","test_search_file",""
