"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Проверка перемещения файла","Проверка функции перемещения файла","0","0","2","0","0"
"","Проверка поиска файла","Проверка поиска файла с неверными параметрами 'input.txt'","0","0","1","0","0"
"","Проверка создания файла","Проверка функции создания папки по неверной ссылке ","0","0","1","0","0"
"","Проверка создания папки","Проверка функции создания папки","0","0","1","0","0"
"","Проверка скачивания файла","Проверка функции скачивания файла 'input.txt'","0","0","1","0","0"
"","Проверка скачивания файла","Проверка функции скачивания файла 'input.txt' с неизвестным ID","0","0","1","0","0"
"","Проверка поиска папки","Проверка функции поиска папки 'python'","0","0","2","0","0"
"","Проверка создания пустого файла","Проверка функции создания нового файла в папке с неверным ID","0","0","1","0","0"
"","Проверка удаления файла","Проверка функции удаления файла 'input.txt'","0","0","1","0","0"
"","Проверка переименования файла","Проверка функции переименования файла по неверной ссылке","0","0","1","0","0"
"","Проверка получения информации о файле","Проверка функции получения даты создания и размера файла","0","0","1","0","0"
"","Проверка получения информации о файле","Проверка функции получения даты создания и размера файла с неизвестным ID","0","0","1","0","0"
"","Проверка загрузки файла","Проверка загрузился ли файл 'input.txt' по неверной ссылке","0","0","1","0","0"
"","Проверка изменения содержимого файла","Проверка функции изменения содержимого файла с неверным ID","0","0","1","0","0"
"","Проверка удаления файла","Проверка удалился ли файл 'input.txt' с неверным ID","0","0","1","0","0"
"","Проверка изменения содержимого файла","Проверка функции изменения содержимого файла","0","0","1","0","0"
"","Проверка поиска файла","Проверка поиска файла 'input.txt'","0","0","1","0","0"
"","Проверка переименования файла","Проверка функции переименования файла","0","0","1","0","0"
"","Проверка создания пустого файла","Проверка функции создания нового файла","0","0","1","0","0"
"","Проверка загрузки файла","Проверка функции загрузки файла 'input.txt'","0","0","1","0","0"
